agent_id,horizon_step_0,horizon_step_1,horizon_step_2,horizon_step_3,horizon_step_4
0,"(9, 1)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
1,"(16, 1)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
2,"(4, 1)","(1, 1)","(6, 0)","(6, 0)","(6, 0)"
3,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
4,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
5,"(15, 0)","(15, 0)","(15, 0)","(15, 0)","(15, 0)"
6,"(14, 1)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
7,"(11, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
8,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
9,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
10,"(1, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
11,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
12,"(9, 1)","(6, 1)","(3, 1)","(18, 0)","(18, 0)"
13,"(15, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
14,"(1, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
15,"(14, 1)","(15, 0)","(15, 0)","(15, 0)","(15, 0)"
16,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
17,"(13, 0)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
18,"(16, 1)","(11, 0)","(11, 0)","(11, 0)","(11, 0)"
19,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
20,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
21,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
22,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
23,"(13, 1)","(14, 0)","(14, 0)","(14, 0)","(14, 0)"
24,"(13, 0)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
25,"(0, 1)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
26,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
27,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
28,"(1, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
29,"(8, 1)","(4, 1)","(0, 0)","(0, 0)","(0, 0)"
30,"(0, 1)","(1, 1)","(2, 1)","(3, 1)","(18, 0)"
31,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
32,"(14, 1)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
33,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
34,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
35,"(4, 0)","(4, 0)","(4, 0)","(4, 0)","(4, 0)"
36,"(15, 1)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
37,"(14, 1)","(10, 1)","(7, 1)","(18, 0)","(18, 0)"
38,"(6, 0)","(6, 0)","(6, 0)","(6, 0)","(6, 0)"
39,"(0, 1)","(4, 0)","(4, 0)","(4, 0)","(4, 0)"
40,"(4, 1)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
41,"(0, 1)","(4, 0)","(4, 0)","(4, 0)","(4, 0)"
42,"(4, 1)","(1, 0)","(1, 0)","(1, 0)","(1, 0)"
43,"(1, 1)","(6, 1)","(3, 1)","(18, 0)","(18, 0)"
44,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
45,"(1, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
46,"(1, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
47,"(5, 0)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
48,"(8, 1)","(5, 1)","(2, 1)","(3, 1)","(18, 0)"
49,"(1, 1)","(6, 0)","(6, 0)","(6, 0)","(6, 0)"
50,"(1, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
51,"(17, 0)","(17, 0)","(17, 0)","(17, 0)","(17, 0)"
52,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
53,"(0, 1)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
54,"(13, 1)","(14, 0)","(14, 0)","(14, 0)","(14, 0)"
55,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
56,"(5, 0)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
57,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
58,"(10, 0)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
59,"(14, 1)","(15, 0)","(15, 0)","(15, 0)","(15, 0)"
60,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
61,"(13, 0)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
62,"(15, 0)","(15, 0)","(15, 0)","(15, 0)","(15, 0)"
63,"(17, 1)","(12, 1)","(19, 1)","(18, 0)","(18, 0)"
64,"(17, 1)","(12, 1)","(19, 1)","(18, 0)","(18, 0)"
65,"(8, 0)","(8, 0)","(8, 0)","(8, 0)","(8, 0)"
66,"(0, 1)","(1, 0)","(1, 0)","(1, 0)","(1, 0)"
67,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
68,"(4, 1)","(1, 1)","(6, 1)","(3, 1)","(18, 0)"
69,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
70,"(14, 0)","(14, 0)","(14, 0)","(14, 0)","(14, 0)"
71,"(0, 1)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
72,"(11, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
73,"(1, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
74,"(1, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
75,"(12, 0)","(12, 0)","(12, 0)","(12, 0)","(12, 0)"
76,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
77,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
78,"(13, 1)","(14, 1)","(15, 0)","(15, 0)","(15, 0)"
79,"(15, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
80,"(0, 1)","(5, 1)","(2, 1)","(3, 1)","(18, 0)"
81,"(15, 1)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
82,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
83,"(9, 1)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
84,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
85,"(16, 1)","(12, 1)","(19, 1)","(18, 0)","(18, 0)"
86,"(5, 0)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
87,"(4, 1)","(9, 1)","(13, 0)","(13, 0)","(13, 0)"
88,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
89,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
90,"(9, 1)","(6, 1)","(3, 1)","(18, 0)","(18, 0)"
91,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
92,"(14, 1)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
93,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
94,"(0, 1)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
95,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
96,"(16, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
97,"(8, 1)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
98,"(8, 1)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
99,"(17, 1)","(12, 0)","(12, 0)","(12, 0)","(12, 0)"
100,"(12, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
101,"(15, 0)","(15, 0)","(15, 0)","(15, 0)","(15, 0)"
102,"(1, 1)","(4, 0)","(4, 0)","(4, 0)","(4, 0)"
103,"(0, 1)","(1, 1)","(2, 1)","(3, 1)","(18, 0)"
104,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
105,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
106,"(4, 1)","(1, 1)","(2, 0)","(2, 0)","(2, 0)"
107,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
108,"(12, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
109,"(13, 1)","(14, 0)","(14, 0)","(14, 0)","(14, 0)"
110,"(17, 1)","(12, 1)","(19, 1)","(18, 0)","(18, 0)"
111,"(13, 1)","(9, 1)","(6, 0)","(6, 0)","(6, 0)"
112,"(8, 1)","(4, 0)","(4, 0)","(4, 0)","(4, 0)"
113,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
114,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
115,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
116,"(16, 1)","(17, 0)","(17, 0)","(17, 0)","(17, 0)"
117,"(15, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
118,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
119,"(10, 0)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
120,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
121,"(5, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
122,"(15, 0)","(15, 0)","(15, 0)","(15, 0)","(15, 0)"
123,"(17, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
124,"(13, 1)","(14, 1)","(10, 1)","(7, 1)","(18, 0)"
125,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
126,"(1, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
127,"(8, 1)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
128,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
129,"(10, 0)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
130,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
131,"(4, 1)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
132,"(13, 1)","(9, 1)","(4, 0)","(4, 0)","(4, 0)"
133,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
134,"(4, 1)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
135,"(11, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
136,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
137,"(16, 1)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
138,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
139,"(15, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
140,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
141,"(4, 1)","(1, 0)","(1, 0)","(1, 0)","(1, 0)"
142,"(4, 1)","(1, 0)","(1, 0)","(1, 0)","(1, 0)"
143,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
144,"(15, 1)","(16, 0)","(16, 0)","(16, 0)","(16, 0)"
145,"(16, 1)","(12, 1)","(7, 1)","(18, 0)","(18, 0)"
146,"(4, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
147,"(8, 1)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
148,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
149,"(0, 1)","(4, 1)","(9, 0)","(9, 0)","(9, 0)"
150,"(13, 1)","(14, 0)","(14, 0)","(14, 0)","(14, 0)"
151,"(5, 1)","(1, 0)","(1, 0)","(1, 0)","(1, 0)"
152,"(17, 1)","(16, 0)","(16, 0)","(16, 0)","(16, 0)"
153,"(5, 1)","(6, 0)","(6, 0)","(6, 0)","(6, 0)"
154,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
155,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
156,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
157,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
158,"(8, 1)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
159,"(8, 1)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
160,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
161,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
162,"(5, 0)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
163,"(1, 0)","(1, 0)","(1, 0)","(1, 0)","(1, 0)"
164,"(15, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
165,"(1, 1)","(6, 1)","(3, 1)","(18, 0)","(18, 0)"
166,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
167,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
168,"(9, 1)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
169,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
170,"(16, 1)","(11, 0)","(11, 0)","(11, 0)","(11, 0)"
171,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
172,"(5, 0)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
173,"(5, 1)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
174,"(5, 0)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
175,"(15, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
176,"(8, 0)","(8, 0)","(8, 0)","(8, 0)","(8, 0)"
177,"(0, 1)","(4, 0)","(4, 0)","(4, 0)","(4, 0)"
178,"(13, 1)","(14, 0)","(14, 0)","(14, 0)","(14, 0)"
179,"(4, 1)","(1, 0)","(1, 0)","(1, 0)","(1, 0)"
180,"(8, 1)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
181,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
182,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
183,"(17, 0)","(17, 0)","(17, 0)","(17, 0)","(17, 0)"
184,"(11, 0)","(11, 0)","(11, 0)","(11, 0)","(11, 0)"
185,"(12, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
186,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
187,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
188,"(16, 1)","(12, 1)","(19, 1)","(18, 0)","(18, 0)"
189,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
190,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
191,"(15, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
192,"(13, 1)","(9, 1)","(6, 1)","(3, 1)","(18, 0)"
193,"(9, 1)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
194,"(8, 0)","(8, 0)","(8, 0)","(8, 0)","(8, 0)"
195,"(15, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
196,"(11, 0)","(11, 0)","(11, 0)","(11, 0)","(11, 0)"
197,"(5, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
198,"(14, 1)","(10, 1)","(7, 1)","(18, 0)","(18, 0)"
199,"(0, 1)","(4, 0)","(4, 0)","(4, 0)","(4, 0)"
200,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
201,"(8, 1)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
202,"(8, 1)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
203,"(13, 1)","(14, 0)","(14, 0)","(14, 0)","(14, 0)"
204,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
205,"(5, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
206,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
207,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
208,"(15, 1)","(16, 0)","(16, 0)","(16, 0)","(16, 0)"
209,"(14, 1)","(8, 0)","(8, 0)","(8, 0)","(8, 0)"
210,"(15, 1)","(14, 0)","(14, 0)","(14, 0)","(14, 0)"
211,"(16, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
212,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
213,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
214,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
215,"(5, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
216,"(17, 1)","(12, 1)","(19, 1)","(18, 0)","(18, 0)"
217,"(0, 1)","(1, 1)","(2, 1)","(3, 1)","(18, 0)"
218,"(15, 1)","(14, 0)","(14, 0)","(14, 0)","(14, 0)"
219,"(17, 1)","(12, 0)","(12, 0)","(12, 0)","(12, 0)"
220,"(0, 1)","(5, 1)","(8, 0)","(8, 0)","(8, 0)"
221,"(15, 1)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
222,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
223,"(8, 1)","(4, 1)","(0, 0)","(0, 0)","(0, 0)"
224,"(9, 1)","(8, 0)","(8, 0)","(8, 0)","(8, 0)"
225,"(9, 1)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
226,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
227,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
228,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
229,"(2, 0)","(2, 0)","(2, 0)","(2, 0)","(2, 0)"
230,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
231,"(14, 1)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
232,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
233,"(15, 1)","(14, 0)","(14, 0)","(14, 0)","(14, 0)"
234,"(8, 1)","(4, 0)","(4, 0)","(4, 0)","(4, 0)"
235,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
236,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
237,"(8, 1)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
238,"(9, 0)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
239,"(16, 1)","(12, 1)","(19, 1)","(18, 0)","(18, 0)"
240,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
241,"(4, 0)","(4, 0)","(4, 0)","(4, 0)","(4, 0)"
242,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
243,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
244,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
245,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
246,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
247,"(4, 1)","(1, 1)","(2, 1)","(3, 1)","(18, 0)"
248,"(1, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
249,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
250,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
251,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
252,"(8, 1)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
253,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
254,"(4, 1)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
255,"(15, 1)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
256,"(9, 0)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
257,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
258,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
259,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
260,"(17, 1)","(11, 0)","(11, 0)","(11, 0)","(11, 0)"
261,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
262,"(5, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
263,"(16, 1)","(12, 1)","(7, 1)","(18, 0)","(18, 0)"
264,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
265,"(4, 1)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
266,"(11, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
267,"(14, 1)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
268,"(8, 1)","(14, 0)","(14, 0)","(14, 0)","(14, 0)"
269,"(9, 1)","(6, 1)","(3, 1)","(18, 0)","(18, 0)"
270,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
271,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
272,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
273,"(14, 0)","(14, 0)","(14, 0)","(14, 0)","(14, 0)"
274,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
275,"(1, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
276,"(13, 1)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
277,"(15, 1)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
278,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
279,"(5, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
280,"(5, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
281,"(11, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
282,"(9, 0)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
283,"(14, 1)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
284,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
285,"(11, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
286,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
287,"(4, 1)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
288,"(5, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
289,"(13, 1)","(14, 1)","(10, 0)","(10, 0)","(10, 0)"
290,"(9, 1)","(6, 1)","(3, 1)","(18, 0)","(18, 0)"
291,"(16, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
292,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
293,"(15, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
294,"(9, 1)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
295,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
296,"(4, 1)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
297,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
298,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
299,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
300,"(10, 0)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
301,"(13, 1)","(14, 1)","(10, 0)","(10, 0)","(10, 0)"
302,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
303,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
304,"(11, 0)","(11, 0)","(11, 0)","(11, 0)","(11, 0)"
305,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
306,"(13, 0)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
307,"(4, 1)","(9, 1)","(10, 0)","(10, 0)","(10, 0)"
308,"(13, 1)","(14, 0)","(14, 0)","(14, 0)","(14, 0)"
309,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
310,"(14, 1)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
311,"(14, 1)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
312,"(16, 0)","(16, 0)","(16, 0)","(16, 0)","(16, 0)"
313,"(8, 0)","(8, 0)","(8, 0)","(8, 0)","(8, 0)"
314,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
315,"(17, 1)","(16, 0)","(16, 0)","(16, 0)","(16, 0)"
316,"(8, 0)","(8, 0)","(8, 0)","(8, 0)","(8, 0)"
317,"(5, 1)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
318,"(8, 1)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
319,"(5, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
320,"(9, 1)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
321,"(13, 1)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
322,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
323,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
324,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
325,"(11, 0)","(11, 0)","(11, 0)","(11, 0)","(11, 0)"
326,"(5, 0)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
327,"(16, 1)","(12, 1)","(19, 1)","(18, 0)","(18, 0)"
328,"(15, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
329,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
330,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
331,"(16, 1)","(15, 0)","(15, 0)","(15, 0)","(15, 0)"
332,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
